name,cvr
A.P. Møller – Mærsk,22756214
Arbejdernes Landsbank,31467012
Sydbank,12626509
Ambu,63644919
Bavarian Nordic,16271187
Carlsberg B,61056416
Coloplast B,69749917
Danske Bank,61126228
Demant,71186911
DSV,58233528
FLSmidth & Co.,58180912
Genmab,21023884
GN Store Nord,24257843
ISS,28504799
Jyske Bank,17616617
NKT,62725214
Novo Nordisk,24256790
(Novozymes),10007127
Christian Hansen,12516479
Pandora,28505116
Rockwool B,54879415
Royal UNIBREW,41956712
Tryg,26460212
Vestas Wind Systems,10403782
Ørsted,36213728
