"","Orbis ID number","BvD ID number","Company name Latin alphabet","country"
"1","009437649","DK11666779","A.P. MOLLER OG HUSTRU CHASTINE MC-KINNEY MOLLERS FOND TIL ALMENE F","DK"
"2","463356362","FR879185791","MERIT FRANCE","FR"
"3","003039855","ESA78374725","REPSOL SA.","ES"
"4","044816376","KR1101113710385","SK INNOVATION CO., LTD.","KR"
"5","049496367","IL30234GE","EL AL ISRAEL AIRLINES LTD","IL"
"6","009436772","BE0860402767","CMB.TECH NV","BE"
"7","173959396","FR662042449","BNP PARIBAS","FR"
"8","255708407","GB09818726","TORM PLC","GB"
"9","537718975","CL775390840","NAVIERA ULTRANAV DOS LIMITADA","CL"
"10","000003619","US940890210","CHEVRON CORPORATION","US"
"11","011212252","GB04366849","SHELL PLC","GB"
"12","009578930","NO985459614","HOEGH AUTOLINERS ASA","NO"
"13","003902763","GB00102498","BP PLC","GB"
"14","187695688","JP4010401082896","MITSUI OSK LINES LIMITED","JP"
"15","012494441","FI18523029","NESTE OYJ","FI"
"16","003020825","ESA36648939","GRUPO NOSA TERRA 21, SA","ES"
"17","062124020","NO991184104","TALLYMAN AS","NO"
"18","046758449","IR30022GN","ISLAMIC REPUBLIC OF IRAN SHIPPING LINES PUBLIC JOINT STOCK COMPANY","IR"
"19","152626220","LULB161486","C. VRAC S.A.","LU"
"20","050559161","IT00117240820","GRIMALDI GROUP S.P.A.","IT"
"21","568265620","TW89191740","CLASSIC HOLDINGS CO., LTD.","TW"
"22","073452129","CN*J00S4140","GOVERNMENT OF CHINA","CN"
"23","002875243","DK15453613","LAURITZEN FONDEN","DK"
"24","073189491","AE0000112717","GOVERNMENT OF DUBAI","AE"
"25","580015669","GB14921313","SPRINGFIELD SHIPPING LIMITED","GB"
"26","005313930","IT00768720823","D'AMICO SOCIETA' DI NAVIGAZIONE S.P.A.","IT"
"27","109937826","IS6904090460","EIMSKIPAFELAG ISLANDS HF.","IS"
"28","049602731","LR0000035419","OCEANIA HOLDINGS LTD","LR"
"29","228115372","KY00502FH","CK HUTCHISON HOLDINGS LIMITED","KY"
"30","006530196","TW11337775","EVERGREEN MARINE CORP. (TAIWAN) LTD.","TW"
"31","005621562","NO945883294","SOLSTAD OFFSHORE ASA","NO"
"32","005706169","NO982763150","NESTTUN INVEST AS","NO"
"33","084198003","NL50313711","STICHTING TENEBO","NL"
"34","000733488","US592459427","WORLD KINECT CORPORATION","US"
"35","005551983","NL33221133","UNITED EUROPEAN CAR CARRIERS B.V.","NL"
"36","007860093","CA90013NC","BROOKFIELD CORPORATION","CA"
"37","060407966","BM30004WN","HAL TRUST","BM"
"38","133994775","PL012149187","GOVERNEMENT OF THE REPUBLIC OF POLAND - MINISTERSTWO SKARBU PANSTWA","PL"
"39","109959149","LR0000039958","EBSWORTH HOLDINGS LIMITED","LR"
"40","049345302","KW0000380008","GOVERNMENT OF KUWAIT","KW"
"41","008326672","BE0404616494","ACKERMANS & VAN HAAREN NV","BE"
"42","495479188","BM55200R","DRYLOG TRADING LTD.","BM"
"43","002988903","EE10682650","BALTIC MARITIME LOGISTICS GROUP AS","EE"
"44","035525372","NL24420592","SAMSKIP HOLDING B.V.","NL"
"45","476081588","FR789002300","ANTIN INFRASTRUCTURE PARTNERS S.A.","FR"
"46","147914908","DKFO5797","SP/F SKANSABREKKA","DK"
"47","007566944","FI15477987","ASPO OYJ","FI"
"48","058528597","FR*J00S1080","GOVERNMENT OF FRANCE","FR"
"49","050496743","LULB73465","CLDN LINKS S.A.","LU"
"50","587462661","YY*110354514053","THE CSL GROUP INC. & LE GROUPE CSL INC.","n.a."
"51","002315891","DE2150036218","ROB. M. SLOMAN & CO. OHG","DE"
"52","158491198","YY*B000086250","LOCARNO MARITIME CO","n.a."
"53","007756315","PT504499777","GALP ENERGIA SGPS S.A.","PT"
"54","003165405","FI01120389","NOKIA OYJ","FI"
