"","AFFILIATION","full_tags","tag.number","full.tag.number"
"1","Det Kongelige Teater og Kapel (bestyrelse) 10842255","Ideologi",1,1
"2","Det Kongelige Teater og Kapel (bestyrelse) 10842255","Kultur",1,2
"3","Det Kongelige Teater og Kapel (bestyrelse) 10842255","Film & Teater",1,3
"4","HJERTEFORENINGEN, Bestyrelse 10394228","Stat",1,1
"5","HJERTEFORENINGEN, Bestyrelse 10394228","Politik",1,2
"6","HJERTEFORENINGEN, Bestyrelse 10394228","Interesseorganisationer",1,3
"7","HJERTEFORENINGEN, Bestyrelse 10394228","Patientorganisationer",1,4
"8","HJERTEFORENINGEN, Bestyrelse 10394228","Stat",2,1
"9","HJERTEFORENINGEN, Bestyrelse 10394228","Sundhed",2,2
"10","Djøf (Bestyrelse) 17517112","Stat",1,1
"11","Djøf (Bestyrelse) 17517112","Politik",1,2
"12","Djøf (Bestyrelse) 17517112","Interesseorganisationer",1,3
"13","Djøf (Bestyrelse) 17517112","Fagbevægelse",1,4
"14","Københavns Universitet, Bestyrelse 29979812","Ideologi",1,1
"15","Københavns Universitet, Bestyrelse 29979812","Videnskab",1,2
"16","Københavns Universitet, Bestyrelse 29979812","Universiteter",1,3
"17","Københavns Universitet, Bestyrelse 29979812","Stat",2,1
"18","Københavns Universitet, Bestyrelse 29979812","Uddannelse",2,2
"19","Københavns Universitet, Bestyrelse 29979812","Videregående uddannelse",2,3
"20","Bruun & Hjejle Advokatpartnerselskab 37975192","Erhvervsliv",1,1
"21","Bruun & Hjejle Advokatpartnerselskab 37975192","Handel og service",1,2
"22","Bruun & Hjejle Advokatpartnerselskab 37975192","Konsulent & Revision",1,3
"23","Bruun & Hjejle Advokatpartnerselskab 37975192","Stat",2,1
"24","Bruun & Hjejle Advokatpartnerselskab 37975192","Jura",2,2
"25","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Ideologi",1,1
"26","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Kultur",1,2
"27","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Litteratur",1,3
"28","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Stat",2,1
"29","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Politik",2,2
"30","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Interesseorganisationer",2,3
"31","DANSK ERHVERV (Bestyrelse) 43232010","Erhvervsliv",1,1
"32","DANSK ERHVERV (Bestyrelse) 43232010","Industri",1,2
"33","DANSK ERHVERV (Bestyrelse) 43232010","Stat",2,1
"34","DANSK ERHVERV (Bestyrelse) 43232010","Politik",2,2
"35","DANSK ERHVERV (Bestyrelse) 43232010","Interesseorganisationer",2,3
"36","DANSK ERHVERV (Bestyrelse) 43232010","Erhvervsorganisationer",2,4
"37","Nationalmuseet (direktion) 22139118","Ideologi",1,1
"38","Nationalmuseet (direktion) 22139118","Videnskab",1,2
"39","Nationalmuseet (direktion) 22139118","Humaniora",1,3
"40","Nationalmuseet (direktion) 22139118","Historie",1,4
"41","Nationalmuseet (direktion) 22139118","Stat",2,1
"42","Nationalmuseet (direktion) 22139118","Statsadministration",2,2
"43","Nationalmuseet (direktion) 22139118","Centraladministration",2,3
"44","Nationalmuseet (direktion) 22139118","Kulturområdet",2,4
"45","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Stat",1,1
"46","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Politik",1,2
"47","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Interesseorganisationer",1,3
"48","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Arbejdsgiverorganisationer",1,4
"49","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Stat",2,1
"50","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Politik",2,2
"51","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Interesseorganisationer",2,3
"52","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Fagbevægelse",2,4
"53","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Stat",3,1
"54","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Sundhed",3,2
"55","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Stat",1,1
"56","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Politik",1,2
"57","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Interesseorganisationer",1,3
"58","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Civilsamfund",1,4
"59","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Stat",2,1
"60","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Politik",2,2
"61","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Interesseorganisationer",2,3
"62","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Velgørenhed",2,4
"63","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Stat",3,1
"64","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Statsadministration",3,2
"65","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Centraladministration",3,3
"66","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Socialområdet",3,4
"67","Økonomistyrelsen 10213231","Ideologi",1,1
"68","Økonomistyrelsen 10213231","Videnskab",1,2
"69","Økonomistyrelsen 10213231","Samfundsvidenskab",1,3
"70","Økonomistyrelsen 10213231","Økonomi",1,4
"71","Økonomistyrelsen 10213231","Stat",2,1
"72","Økonomistyrelsen 10213231","Statsadministration",2,2
"73","Økonomistyrelsen 10213231","Centraladministration",2,3
"74","Økonomistyrelsen 10213231","Stat",3,1
"75","Økonomistyrelsen 10213231","Statsadministration",3,2
"76","Økonomistyrelsen 10213231","Centraladministration",3,3
"77","Økonomistyrelsen 10213231","Erhvervsområdet",3,4
"78","Digitaliseringsstyrelsen 34051178","Ideologi",1,1
"79","Digitaliseringsstyrelsen 34051178","Videnskab",1,2
"80","Digitaliseringsstyrelsen 34051178","Teknologi",1,3
"81","Digitaliseringsstyrelsen 34051178","Mødested",2,1
"82","Digitaliseringsstyrelsen 34051178","Statsadministration",2,2
"83","Digitaliseringsstyrelsen 34051178","Centraladministration",2,3
"84","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Ideologi",1,1
"85","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Videnskab",1,2
"86","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Naturvidenskab",1,3
"87","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Stat",2,1
"88","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Statsadministration",2,2
"89","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Infrastruktur",2,3
"90","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Energi",2,4
"91","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Stat",1,1
"92","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Uddannelse",1,2
"93","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Erhvervsskole",1,3
"94","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Stat",2,1
"95","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Uddannelse",2,2
"96","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Gymnasier",2,3
"97","Finanstilsynet (Bestyrelse) 10598184","Erhvervsliv",1,1
"98","Finanstilsynet (Bestyrelse) 10598184","Finans",1,2
"99","Finanstilsynet (Bestyrelse) 10598184","Stat",2,1
"100","Finanstilsynet (Bestyrelse) 10598184","Statsadministration",2,2
"101","Finanstilsynet (Bestyrelse) 10598184","Centraladministration",2,3
"102","Finanstilsynet (Bestyrelse) 10598184","Stat",3,1
"103","Finanstilsynet (Bestyrelse) 10598184","Statsadministration",3,2
"104","Finanstilsynet (Bestyrelse) 10598184","Centraladministration",3,3
"105","Finanstilsynet (Bestyrelse) 10598184","Erhvervsområdet",3,4
"106","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Stat",1,1
"107","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Politik",1,2
"108","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Interesseorganisationer",1,3
"109","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Fagbevægelse",1,4
"110","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Stat",2,1
"111","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Uddannelse",2,2
"112","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Folkeskole",2,3
"113","DI - Dansk Industri (forretningsudvalg) 16077593","Erhvervsliv",1,1
"114","DI - Dansk Industri (forretningsudvalg) 16077593","Industri",1,2
"115","DI - Dansk Industri (forretningsudvalg) 16077593","Mødested",2,1
"116","DI - Dansk Industri (forretningsudvalg) 16077593","Dansk Industri",2,2
"117","DI - Dansk Industri (forretningsudvalg) 16077593","Stat",3,1
"118","DI - Dansk Industri (forretningsudvalg) 16077593","Politik",3,2
"119","DI - Dansk Industri (forretningsudvalg) 16077593","Interesseorganisationer",3,3
"120","DI - Dansk Industri (forretningsudvalg) 16077593","Erhvervsorganisationer",3,4
"121","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Stat",1,1
