name,affiliation,orig_affiliation,revenue,employees
Mr Joaquin B Duato,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Joaquin C Duato,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Alex C Gorsky,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Darius E. Adamczyk,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. Mary C. Beckerle,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr D. Scott Davis,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Sir Ian Edward Lamert Davis,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. Jennifer A. Doudna,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Ms Marillyn Adams Hewson,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. Paula A. Johnson,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Hubert L Joly III,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. Mark B. Mcclellan,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Ms Anne M. Mulcahy,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Charles O Prince III,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. A. Eugene Washington,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Mark A. Weinberger,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. Nadja Y. West,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Ms Vanessa A. Broadhurst,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. Peter M. Fasolo,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Ms Elizabeth R. Forminard,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Dr. William N. Hait,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Ms Ashley A. McEvoy,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Thibaut Mongon,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr John C. Reed,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr James D. Swanson,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
